time,open,high,low,close,volume
2025-05-05 09:45:00 EDT,113.875,114.38,113.75,114.06,2539001
2025-05-05 09:50:00 EDT,114.0747,114.1,113.64,113.81,2056302
2025-05-05 09:55:00 EDT,113.81,114.02,113.67,113.7465,1707942
2025-05-05 10:00:00 EDT,113.76,114.2,113.73,113.805,2086556
2025-05-05 10:05:00 EDT,113.81,113.89,113.47,113.645,2053319
2025-05-05 10:10:00 EDT,113.63,113.6796,113.1,113.305,2285216
2025-05-05 10:15:00 EDT,113.31,113.6,113.18,113.46,1750343
2025-05-05 10:20:00 EDT,113.47,113.5252,112.915,113.01,2408020
2025-05-05 10:25:00 EDT,113.015,113.33,113.005,113.245,1740667
2025-05-05 10:30:00 EDT,113.247,113.33,112.855,112.88,1490782
2025-05-05 10:35:00 EDT,112.8744,113.35,112.66,113.27,2254236
2025-05-05 10:40:00 EDT,113.27,113.419,113.15,113.369,1625679
2025-05-05 10:45:00 EDT,113.36,113.5,113.3,113.3,1303942
2025-05-05 10:50:00 EDT,113.3049,113.55,113.3,113.547,1078298
2025-05-05 10:55:00 EDT,113.5301,113.72,113.51,113.56,1202327
2025-05-05 11:00:00 EDT,113.57,113.8,113.47,113.775,1274863
2025-05-05 11:05:00 EDT,113.78,113.81,113.48,113.5158,1309369
2025-05-05 11:10:00 EDT,113.5197,113.75,113.4442,113.71,1156563
2025-05-05 11:15:00 EDT,113.7104,113.78,113.56,113.75,863957
2025-05-05 11:20:00 EDT,113.75,113.97,113.67,113.9489,1397431
2025-05-05 11:25:00 EDT,113.945,113.9483,113.845,113.9199,922672
2025-05-05 11:30:00 EDT,113.92,114.12,113.82,113.8352,1781679
2025-05-05 11:35:00 EDT,113.835,113.85,113.6,113.64,1199580
2025-05-05 11:40:00 EDT,113.646,113.8,113.4,113.54,1391566
2025-05-05 11:45:00 EDT,113.53,113.68,113.48,113.545,930823
2025-05-05 11:50:00 EDT,113.54,113.7955,113.5309,113.7,857483
2025-05-05 11:55:00 EDT,113.6985,113.72,113.5,113.565,758055
2025-05-05 12:00:00 EDT,113.565,113.75,113.56,113.7499,786911
2025-05-05 12:05:00 EDT,113.745,113.8,113.6382,113.67,762643
2025-05-05 12:10:00 EDT,113.6672,113.77,113.65,113.7499,483133
2025-05-05 12:15:00 EDT,113.745,113.91,113.71,113.855,912623
2025-05-05 12:20:00 EDT,113.85,113.95,113.8314,113.91,771018
2025-05-05 12:25:00 EDT,113.9001,113.92,113.73,113.785,637380
2025-05-05 12:30:00 EDT,113.785,113.79,113.61,113.705,599485
2025-05-05 12:35:00 EDT,113.705,113.88,113.6747,113.8619,648891
2025-05-05 12:40:00 EDT,113.86,114.06,113.8501,114.0213,1225659
2025-05-05 12:45:00 EDT,114.0273,114.035,113.92,114.015,553376
2025-05-05 12:50:00 EDT,114.0298,114.06,113.85,113.955,748158
2025-05-05 12:55:00 EDT,113.955,114.05,113.935,114.0193,633454
2025-05-05 13:00:00 EDT,114.015,114.04,113.88,113.91,806876
2025-05-05 13:05:00 EDT,113.9155,114.06,113.89,114.05,787696
2025-05-05 13:10:00 EDT,114.04,114.1,113.92,113.945,1014146
2025-05-05 13:15:00 EDT,113.945,113.99,113.87,113.9798,673036
2025-05-05 13:20:00 EDT,113.97,114.05,113.95,114.03,397673
2025-05-05 13:25:00 EDT,114.03,114.16,114.03,114.13,766125
2025-05-05 13:30:00 EDT,114.135,114.32,114.1,114.255,935978
2025-05-05 13:35:00 EDT,114.26,114.37,114.18,114.29,788727
2025-05-05 13:40:00 EDT,114.29,114.32,114.19,114.1999,508341
2025-05-05 13:45:00 EDT,114.2,114.27,114.1849,114.235,398662
2025-05-05 13:50:00 EDT,114.23,114.34,114.16,114.31,773226
2025-05-05 13:55:00 EDT,114.3097,114.36,114.25,114.26,627877
2025-05-05 14:00:00 EDT,114.27,114.32,114.21,114.305,463954
2025-05-05 14:05:00 EDT,114.305,114.53,114.265,114.43,1239522
2025-05-05 14:10:00 EDT,114.425,114.47,114.37,114.455,517055
2025-05-05 14:15:00 EDT,114.455,114.47,114.29,114.3272,610713
2025-05-05 14:20:00 EDT,114.325,114.3899,114.31,114.335,424432
2025-05-05 14:25:00 EDT,114.33,114.44,114.315,114.3776,500359
2025-05-05 14:30:00 EDT,114.37,114.55,114.34,114.5301,657074
2025-05-05 14:35:00 EDT,114.535,114.62,114.465,114.573,854982
2025-05-05 14:40:00 EDT,114.575,114.665,114.5,114.655,912497
2025-05-05 14:45:00 EDT,114.65,114.66,114.53,114.5701,588840
2025-05-05 14:50:00 EDT,114.57,114.64,114.3,114.33,897267
2025-05-05 14:55:00 EDT,114.3286,114.34,114.13,114.18,1070318
2025-05-05 15:00:00 EDT,114.17,114.265,114.07,114.26,843638
2025-05-05 15:05:00 EDT,114.26,114.34,114.14,114.1698,663093
2025-05-05 15:10:00 EDT,114.16,114.225,114.04,114.1699,738652
2025-05-05 15:15:00 EDT,114.165,114.37,114.14,114.3166,857201
2025-05-05 15:20:00 EDT,114.3176,114.35,114.14,114.2682,898585
2025-05-05 15:25:00 EDT,114.2648,114.42,114.2201,114.374,800735
2025-05-05 15:30:00 EDT,114.36,114.5482,114.33,114.51,931302
2025-05-05 15:35:00 EDT,114.5,114.62,114.48,114.51,895826
2025-05-05 15:40:00 EDT,114.515,114.55,114.25,114.29,1158118
2025-05-05 15:45:00 EDT,114.28,114.32,114.05,114.2562,1287240
2025-05-05 15:50:00 EDT,114.26,114.38,113.6901,113.875,2019427
2025-05-05 15:55:00 EDT,113.87,114.02,113.67,113.81,3862335
2025-05-06 09:30:00 EDT,111.47,111.99,111.12,111.49,6133300
2025-05-06 09:35:00 EDT,111.5,112.01,111.445,111.86,3047116
2025-05-06 09:40:00 EDT,111.855,112.0,111.48,111.505,2723392
2025-05-06 09:45:00 EDT,111.51,111.85,111.4,111.57,2273963
2025-05-06 09:50:00 EDT,111.57,111.615,110.822,110.88,3245432
2025-05-06 09:55:00 EDT,110.89,111.37,110.84,111.1,2410812
2025-05-06 10:00:00 EDT,111.11,111.54,110.9203,111.425,2591356
2025-05-06 10:05:00 EDT,111.42,111.82,111.42,111.8088,2322439
2025-05-06 10:10:00 EDT,111.805,112.13,111.73,111.9151,2972645
2025-05-06 10:15:00 EDT,111.915,112.48,111.79,112.44,2453572
2025-05-06 10:20:00 EDT,112.44,112.9258,112.44,112.755,3018550
2025-05-06 10:25:00 EDT,112.76,112.97,112.47,112.655,2654803
2025-05-06 10:30:00 EDT,112.65,113.13,112.59,113.025,2315741
2025-05-06 10:35:00 EDT,113.025,113.19,112.86,113.13,1925950
2025-05-06 10:40:00 EDT,113.125,113.23,112.975,113.04,1538534
2025-05-06 10:45:00 EDT,113.05,113.25,113.01,113.145,1458144
2025-05-06 10:50:00 EDT,113.14,113.15,112.82,112.92,1508788
2025-05-06 10:55:00 EDT,112.9101,112.97,112.7,112.715,1187073
2025-05-06 11:00:00 EDT,112.71,112.87,112.69,112.8399,1158636
2025-05-06 11:05:00 EDT,112.835,112.95,112.58,112.6101,1143661
2025-05-06 11:10:00 EDT,112.6189,112.7599,112.5637,112.69,930049
2025-05-06 11:15:00 EDT,112.7,112.8189,112.58,112.76,896758
2025-05-06 11:20:00 EDT,112.765,113.115,112.7,113.03,1420595
2025-05-06 11:25:00 EDT,113.01,113.13,112.9,113.07,839232
2025-05-06 11:30:00 EDT,113.065,113.09,112.865,113.065,772255
2025-05-06 11:35:00 EDT,113.065,113.16,113.01,113.055,772250
2025-05-06 11:40:00 EDT,113.0501,113.14,112.76,112.815,910965
2025-05-06 11:45:00 EDT,112.82,112.94,112.76,112.84,721963
2025-05-06 11:50:00 EDT,112.831,112.8998,112.63,112.685,793748
2025-05-06 11:55:00 EDT,112.69,112.83,112.64,112.73,525381
2025-05-06 12:00:00 EDT,112.72,112.93,112.71,112.905,635875
2025-05-06 12:05:00 EDT,112.9049,112.9049,112.6201,112.6449,589719
2025-05-06 12:10:00 EDT,112.645,113.79,112.6,113.6797,2571851
2025-05-06 12:15:00 EDT,113.69,113.69,113.26,113.3499,1527247
2025-05-06 12:20:00 EDT,113.35,113.445,112.83,112.92,1395199
2025-05-06 12:25:00 EDT,112.95,113.17,112.91,113.0179,933869
2025-05-06 12:30:00 EDT,113.0101,113.18,112.93,113.1213,884957
2025-05-06 12:35:00 EDT,113.1236,113.4,113.11,113.21,1129339
2025-05-06 12:40:00 EDT,113.2131,113.4,112.96,113.01,1119152
2025-05-06 12:45:00 EDT,113.005,113.05,112.88,112.92,1079389
2025-05-06 12:50:00 EDT,112.92,112.92,112.6201,112.825,1292748
2025-05-06 12:55:00 EDT,112.825,112.88,112.62,112.63,956650
2025-05-06 13:00:00 EDT,112.63,113.03,112.61,112.85,1265807
2025-05-06 13:05:00 EDT,112.845,113.115,112.8301,113.02,904655
2025-05-06 13:10:00 EDT,113.0203,113.06,112.84,112.965,725752
2025-05-06 13:15:00 EDT,112.97,113.12,112.93,113.03,555845
2025-05-06 13:20:00 EDT,113.03,113.04,112.67,112.809,827291
2025-05-06 13:25:00 EDT,112.8,112.99,112.67,112.92,874557
2025-05-06 13:30:00 EDT,112.93,113.09,112.91,113.05,721052
2025-05-06 13:35:00 EDT,113.055,113.1,112.84,112.86,705441
2025-05-06 13:40:00 EDT,112.855,112.87,112.72,112.79,699241
2025-05-06 13:45:00 EDT,112.79,112.9297,112.7347,112.8996,704251
2025-05-06 13:50:00 EDT,112.9,113.05,112.86,112.98,704545
2025-05-06 13:55:00 EDT,112.98,113.0765,112.83,112.875,721857
2025-05-06 14:00:00 EDT,112.88,113.31,112.88,113.14,1067241
2025-05-06 14:05:00 EDT,113.1399,113.24,112.99,113.2387,677744
2025-05-06 14:10:00 EDT,113.235,113.28,113.04,113.235,686785
2025-05-06 14:15:00 EDT,113.2313,113.61,113.23,113.605,1259334
2025-05-06 14:20:00 EDT,113.605,113.7199,113.52,113.7,1065568
2025-05-06 14:25:00 EDT,113.695,113.78,113.57,113.68,1266348
2025-05-06 14:30:00 EDT,113.67,113.8,113.64,113.73,975568
2025-05-06 14:35:00 EDT,113.73,113.8,113.56,113.75,1123371
2025-05-06 14:40:00 EDT,113.74,113.88,113.6,113.6265,1248124
2025-05-06 14:45:00 EDT,113.62,113.73,113.58,113.7201,855345
2025-05-06 14:50:00 EDT,113.725,114.11,113.66,114.0999,2077539
2025-05-06 14:55:00 EDT,114.1,114.12,113.935,114.0501,1320124
2025-05-06 15:00:00 EDT,114.05,114.07,113.9,114.03,879468
2025-05-06 15:05:00 EDT,114.035,114.045,113.8,113.88,969224
2025-05-06 15:10:00 EDT,113.88,114.1,113.78,114.071,984412
2025-05-06 15:15:00 EDT,114.0755,114.2,114.02,114.05,1370004
2025-05-06 15:20:00 EDT,114.06,114.16,113.99,114.1319,1049422
2025-05-06 15:25:00 EDT,114.135,114.3,114.075,114.23,1050010
2025-05-06 15:30:00 EDT,114.2314,114.5,114.165,114.43,1947309
2025-05-06 15:35:00 EDT,114.435,114.46,114.26,114.3355,1049791
2025-05-06 15:40:00 EDT,114.335,114.69,114.3,114.675,1466259
2025-05-06 15:45:00 EDT,114.675,114.74,114.525,114.625,1791775
2025-05-06 15:50:00 EDT,114.62,114.63,113.97,114.06,2451604
2025-05-06 15:55:00 EDT,114.06,114.06,113.38,113.45,5204039
2025-05-07 09:30:00 EDT,113.04,113.42,112.6428,112.86,6113225
2025-05-07 09:35:00 EDT,112.86,113.23,112.615,112.89,3301125
2025-05-07 09:40:00 EDT,112.885,113.32,112.885,113.145,2496423
2025-05-07 09:45:00 EDT,113.145,113.525,112.77,112.865,3305346
2025-05-07 09:50:00 EDT,112.87,113.14,112.84,113.07,1805862
